,expt,rig,exptName,exptDate,maleGT,maleDOB,maleAge,femaleGT,femaleDOB,femaleAge,cop,copFrame,exptpath,songpath,datapath
43,20230518_130529,right,20230518_130529right,2023-05-18,NM91,2023-05-11,7,pc2_control,2023-05-12,6,1,81974,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_130529/right/20230518_130529right.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_130529/right/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_130529/right/vSampleNumber_at_Frame.h5"
44,20230518_130529,left,20230518_130529left,2023-05-18,NM91,2023-05-11,7,pc2_control,2023-05-12,6,1,19997,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_130529/left/20230518_130529left.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_130529/left/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_130529/left/vSampleNumber_at_Frame.h5"
45,20230518_150226,right,20230518_150226right,2023-05-18,NM91,2023-05-11,7,pc2_tnt,2023-05-15,3,0,NaN,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_150226/right/20230518_150226right.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_150226/right/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_150226/right/vSampleNumber_at_Frame.h5"
46,20230518_150226,left,20230518_150226left,2023-05-18,NM91,2023-05-11,7,pc2_tnt,2023-05-15,3,0,NaN,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_150226/left/20230518_150226left.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_150226/left/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_150226/left/vSampleNumber_at_Frame.h5"
47,20230518_154044,right,20230518_154044right,2023-05-18,NM91,2023-05-11,7,pc2_tnt,2023-05-15,3,0,NaN,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_154044/right/20230518_154044right.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_154044/right/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_154044/right/vSampleNumber_at_Frame.h5"
48,20230518_154044,left,20230518_154044left,2023-05-18,NM91,2023-05-11,7,pc2_tnt,2023-05-15,3,0,NaN,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_154044/left/20230518_154044left.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_154044/left/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_154044/left/vSampleNumber_at_Frame.h5"
49,20230518_162500,right,20230518_162500right,2023-05-18,NM91,2023-05-11,7,pc2_tnt,2023-05-15,3,0,NaN,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_162500/right/20230518_162500right.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_162500/right/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_162500/right/vSampleNumber_at_Frame.h5"
50,20230518_162500,left,20230518_162500left,2023-05-18,NM91,2023-05-11,7,pc2_control,2023-05-12,6,0,NaN,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_162500/left/20230518_162500left.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_162500/left/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_162500/left/vSampleNumber_at_Frame.h5"
51,20230519_121359,left,20230519_121359left,2023-05-19,NM91,2023-05-15,4,pc2_tnt,2023-05-16,3,1,53590,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230519_121359/left/20230519_121359left.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230519_121359/left/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230519_121359/left/vSampleNumber_at_Frame.h5"
52,20230519_131155,right,20230519_131155right,2023-05-19,NM91,2023-05-16,3,pc2_tnt,2023-05-16,3,1,69680,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230519_131155/right/20230519_131155right.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230519_131155/right/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230519_131155/right/vSampleNumber_at_Frame.h5"
